,,,Cl,,,,Alpha
1.0163,1.0586,1.0867,1.0884,1.0528,1.0125,0.9327,-139.5
1.0208,1.0674,1.0895,1.0869,1.0487,1.0089,0.92134,-139
1.026,1.0761,1.0928,1.0852,1.0449,1.0046,0.91026,-138.5
1.0317,1.0842,1.0962,1.0833,1.0415,0.99963,0.90074,-138
1.0378,1.0915,1.0994,1.0815,1.0385,0.99414,0.89303,-137.5
1.0443,1.0981,1.1023,1.0797,1.0358,0.98817,0.88637,-137
1.0511,1.104,1.1046,1.0782,1.0333,0.9818,0.88,-136.5
1.0582,1.1093,1.106,1.0769,1.0309,0.97509,0.87312,-136
1.0654,1.114,1.1068,1.0761,1.0285,0.96811,0.86496,-135.5
1.0729,1.1181,1.107,1.0759,1.026,0.96093,0.85474,-135
1.0806,1.1217,1.1068,1.0763,1.0232,0.9535,0.84168,-134.5
1.0883,1.1248,1.1062,1.0773,1.0201,0.9457,0.82649,-134
1.0962,1.1274,1.1054,1.0784,1.0165,0.93743,0.81267,-133.5
1.1039,1.1294,1.1043,1.079,1.0124,0.92856,0.80362,-133
1.1113,1.1309,1.103,1.0787,1.0076,0.91899,0.79818,-132.5
1.1183,1.1318,1.1015,1.077,1.0022,0.90859,0.79254,-132
1.1246,1.1321,1.0998,1.0734,0.99591,0.89739,0.78282,-131.5
1.13,1.132,1.0978,1.0673,0.98877,0.88568,0.76568,-131
1.1344,1.1314,1.0957,1.0591,0.98065,0.87376,0.74409,-130.5
1.1378,1.1303,1.0933,1.0496,0.97148,0.86195,0.72504,-130
1.1404,1.129,1.0908,1.0398,0.9613,0.85057,0.71105,-129.5
1.1424,1.1273,1.088,1.0308,0.95055,0.83992,0.70035,-129
1.1439,1.1254,1.085,1.0236,0.93973,0.83031,0.69099,-128.5
1.1451,1.1232,1.0819,1.0185,0.92936,0.8217,0.68104,-128
1.1462,1.121,1.0785,1.0145,0.91995,0.81372,0.66935,-127.5
1.1471,1.1186,1.0749,1.011,0.91179,0.80597,0.65658,-127
1.1479,1.1162,1.071,1.0072,0.90439,0.79804,0.64364,-126.5
1.1485,1.1137,1.067,1.0022,0.89709,0.78956,0.63141,-126
1.1489,1.111,1.0627,0.9953,0.88922,0.78012,0.62022,-125.5
1.1491,1.1083,1.0582,0.98627,0.88012,0.76932,0.60916,-125
1.1491,1.1053,1.0533,0.97561,0.8695,0.75696,0.59716,-124.5
1.1489,1.1022,1.048,0.96379,0.85764,0.74321,0.58329,-124
1.1485,1.0989,1.0423,0.95128,0.8449,0.7283,0.56786,-123.5
1.1477,1.0955,1.036,0.93856,0.83164,0.71246,0.55186,-123
1.1467,1.0917,1.0291,0.92612,0.81821,0.69592,0.53627,-122.5
1.1454,1.0878,1.0217,0.91443,0.80497,0.67891,0.52202,-122
1.1438,1.0835,1.0135,0.9036,0.79227,0.66182,0.50911,-121.5
1.1418,1.079,1.0049,0.89334,0.78034,0.64522,0.49673,-121
1.1395,1.0742,0.9957,0.88332,0.76893,0.62964,0.48404,-120.5
1.1368,1.069,0.98608,0.87322,0.75772,0.61563,0.47022,-120
1.1338,1.0634,0.97607,0.8627,0.74641,0.60316,0.45475,-119.5
1.1303,1.0575,0.96573,0.85145,0.73467,0.59169,0.43832,-119
1.1265,1.0511,0.95512,0.83913,0.72219,0.58066,0.42188,-118.5
1.1224,1.0441,0.9443,0.82563,0.70864,0.56952,0.40638,-118
1.118,1.0366,0.93331,0.81139,0.69377,0.55772,0.39226,-117.5
1.1132,1.0285,0.92215,0.79697,0.67789,0.54472,0.37881,-117
1.1083,1.0197,0.91081,0.78294,0.66171,0.53044,0.36518,-116.5
1.103,1.0102,0.8993,0.76985,0.64588,0.51506,0.35062,-116
1.0976,1.0002,0.8876,0.75821,0.6307,0.49876,0.33516,-115.5
1.0919,0.98979,0.87572,0.74784,0.61631,0.48173,0.31913,-115
1.086,0.97903,0.86364,0.73812,0.60283,0.46417,0.30284,-114.5
1.0798,0.96805,0.85139,0.72843,0.59038,0.44626,0.28661,-114
1.0734,0.95696,0.839,0.71814,0.57907,0.4284,0.27064,-113.5
1.0666,0.94586,0.82655,0.70663,0.56855,0.41125,0.25493,-113
1.0595,0.93484,0.81409,0.69357,0.55791,0.39549,0.23947,-112.5
1.052,0.92388,0.80168,0.6792,0.54622,0.38178,0.22425,-112
1.0442,0.91293,0.78939,0.66383,0.53253,0.37074,0.20935,-111.5
1.0359,0.90193,0.77727,0.64778,0.51591,0.3619,0.1949,-111
1.0273,0.89084,0.76535,0.63135,0.49542,0.3538,0.18106,-110.5
1.0182,0.87961,0.75344,0.61487,0.471,0.34496,0.16798,-110
1.0087,0.86817,0.74122,0.59861,0.44788,0.33388,0.15554,-109.5
0.99866,0.85648,0.72839,0.58265,0.43146,0.31909,0.14323,-109
0.98816,0.84448,0.71463,0.56694,0.42007,0.3002,0.13047,-108.5
0.97713,0.83209,0.69975,0.55141,0.41037,0.27878,0.11672,-108
0.96562,0.81925,0.684,0.536,0.39902,0.25659,0.10169,-107.5
0.95371,0.8059,0.66774,0.52065,0.38391,0.23537,0.085889,-107
0.94149,0.79198,0.65131,0.5053,0.36624,0.21683,0.069927,-106.5
0.92905,0.77744,0.63507,0.4899,0.34776,0.20129,0.054428,-106
0.9165,0.76242,0.61929,0.4745,0.33022,0.18778,0.039675,-105.5
0.90392,0.74717,0.60393,0.45923,0.31488,0.17526,0.025322,-105
0.89142,0.73195,0.5889,0.4442,0.30127,0.1627,0.010955,-104.5
0.87908,0.71703,0.57412,0.42954,0.28858,0.1494,-0.0038397,-104
0.86696,0.70266,0.5595,0.4153,0.27601,0.13549,-0.019191,-103.5
0.85494,0.68894,0.54494,0.40127,0.26274,0.12122,-0.034698,-103
0.84285,0.67542,0.53037,0.38715,0.24801,0.10683,-0.049902,-102.5
0.83052,0.66157,0.51569,0.37263,0.23177,0.09257,-0.064346,-102
0.81778,0.64688,0.50086,0.35743,0.21487,0.078693,-0.077945,-101.5
0.80447,0.63087,0.48582,0.34143,0.19822,0.065433,-0.091345,-101
0.79041,0.61367,0.47054,0.32484,0.18271,0.052722,-0.10528,-100.5
0.77554,0.5959,0.45498,0.30789,0.16851,0.040212,-0.12047,-100
0.76003,0.57818,0.43911,0.29084,0.1549,0.027543,-0.13723,-99.5
0.7441,0.56115,0.42293,0.2739,0.1411,0.014354,-0.15442,-99
0.72797,0.54537,0.40643,0.25734,0.12646,0.00028517,-0.1706,-98.5
0.71188,0.53078,0.38959,0.24136,0.11104,-0.015024,-0.18439,-98
0.69603,0.51679,0.37247,0.22595,0.09522,-0.031883,-0.1958,-97.5
0.68066,0.50281,0.35528,0.21089,0.079349,-0.049803,-0.20639,-97
0.66592,0.48823,0.33825,0.19596,0.063613,-0.067655,-0.21784,-96.5
0.65171,0.47258,0.3216,0.18093,0.048138,-0.084293,-0.23179,-96
0.6378,0.45602,0.30556,0.16563,0.033052,-0.098604,-0.24927,-95.5
0.62398,0.43892,0.2903,0.1501,0.018482,-0.11054,-0.26863,-95
0.61004,0.42164,0.27564,0.13446,0.0045527,-0.12128,-0.28759,-94.5
0.59577,0.40456,0.26124,0.11883,-0.0086074,-0.13208,-0.3039,-94
0.58095,0.38799,0.24672,0.10332,-0.02092,-0.14418,-0.31688,-93.5
0.56537,0.3719,0.23174,0.08799,-0.03269,-0.15881,-0.32808,-93
0.54884,0.35615,0.21608,0.072756,-0.044412,-0.17629,-0.33922,-92.5
0.53147,0.34059,0.19991,0.057535,-0.05658,-0.19569,-0.35203,-92
0.5135,0.32509,0.1834,0.042245,-0.069687,-0.21598,-0.36773,-91.5
0.49516,0.3095,0.16675,0.026801,-0.084227,-0.23613,-0.38523,-91
0.47671,0.29368,0.15015,0.011118,-0.1007,-0.25512,-0.40283,-90.5
0.45837,0.27749,0.13372,-0.0048866,-0.11956,-0.27224,-0.41881,-90
0.44029,0.26083,0.11758,-0.0212,-0.14056,-0.28767,-0.43224,-89.5
0.42252,0.24389,0.1018,-0.037585,-0.16254,-0.30176,-0.44413,-89
0.40508,0.227,0.08649,-0.053771,-0.18432,-0.31483,-0.45576,-88.5
0.388,0.21046,0.071685,-0.069486,-0.20513,-0.32722,-0.46843,-88
0.37131,0.19456,0.057246,-0.084474,-0.2246,-0.33925,-0.48325,-87.5
0.35503,0.17915,0.042976,-0.098792,-0.24239,-0.35122,-0.49978,-87
0.33916,0.16382,0.028679,-0.11282,-0.25815,-0.36344,-0.51678,-86.5
0.32363,0.14816,0.014159,-0.12694,-0.27153,-0.37621,-0.53304,-86
0.30837,0.13174,-0.00077966,-0.14155,-0.28248,-0.38984,-0.54781,-85.5
