,,,Cl,,,,Alpha
-1.6094,-1.5881,-1.4909,-1.2246,-0.9419,-0.55602,0.10679,-14.5
-1.6306,-1.6098,-1.4952,-1.2133,-0.84804,-0.44065,0.060509,-14
-1.6503,-1.6284,-1.4953,-1.1969,-0.81779,-0.34921,-0.07369,-13.5
-1.6683,-1.6431,-1.4923,-1.1786,-0.81515,-0.30524,1.0876,-13
-1.6842,-1.6528,-1.4869,-1.1617,-0.7468,-0.21759,0.55513,-12.5
-1.6977,-1.6575,-1.4802,-1.1497,-0.65123,0.012425,0.62617,-12
-1.7085,-1.658,-1.473,-1.1458,-0.64509,0.09594,0.74698,-11.5
-1.7163,-1.6554,-1.4658,-1.1529,-0.58495,-0.12236,0.77551,-11
-1.7208,-1.6503,-1.4586,-1.1605,-0.42025,0.10826,0.81873,-10.5
-1.7217,-1.6438,-1.4513,-1.1446,-0.41079,0.2417,0.86635,-10
-1.7195,-1.6367,-1.4439,-1.0806,-0.38942,0.19255,0.91162,-9.5
-1.7149,-1.6299,-1.4362,-0.97038,-0.29159,0.38813,0.95544,-9
-1.7087,-1.6239,-1.4283,-0.90599,-0.15687,0.47622,0.99929,-8.5
-1.7018,-1.6184,-1.42,-0.87137,-0.030902,0.50447,1.0434,-8
-1.6947,-1.6126,-1.4112,-0.8268,0.046724,0.56108,1.0851,-7.5
-1.6885,-1.6062,-1.4013,-0.76871,0.094451,0.63091,1.1218,-7
-1.6832,-1.5983,-1.3894,-0.71115,0.14473,0.69359,1.155,-6.5
-1.6785,-1.5886,-1.3749,-0.65689,0.19974,0.75363,1.1869,-6
-1.674,-1.5762,-1.3571,-0.60286,0.25117,0.81509,1.2218,-5.5
-1.6691,-1.5613,-1.3353,-0.54824,0.3018,0.87073,1.266,-5
-1.6633,-1.5452,-1.3074,-0.49349,0.35793,0.91918,1.3143,-4.5
-1.6563,-1.5299,-1.2709,-0.43962,0.41891,0.97666,1.3528,-4
-1.6474,-1.5172,-1.2238,-0.38742,0.47809,1.045,1.3799,-3.5
-1.6367,-1.5089,-1.1712,-0.33313,0.53334,1.0923,1.4006,-3
-1.6244,-1.5055,-1.1211,-0.27151,0.58579,1.12,1.4199,-2.5
-1.611,-1.4953,-1.0792,-0.20977,0.64227,1.1478,1.4396,-2
-1.5968,-1.4598,-1.0501,-0.15887,0.71274,1.1903,1.4593,-1.5
-1.582,-1.3931,-1.0232,-0.11763,0.78553,1.2365,1.4784,-1
-1.5669,-1.3323,-0.96767,-0.082048,0.83488,1.2726,1.4968,-0.5
-1.5516,-1.2961,-0.87316,-0.045261,0.8659,1.3001,1.5143,0
-1.5364,-1.274,-0.81589,0.001572,0.8909,1.3229,1.5312,0.5
-1.5214,-1.2543,-0.78125,0.059962,0.93242,1.3454,1.5475,1
-1.5066,-1.2168,-0.73527,0.11924,1.0159,1.3727,1.5633,1.5
-1.4911,-1.1307,-0.68321,0.17998,1.1071,1.4099,1.5785,2
-1.4727,-1.0722,-0.63728,0.24813,1.1474,1.4528,1.5931,2.5
-1.4489,-1.0432,-0.5849,0.31372,1.1621,1.4902,1.607,3
-1.4173,-0.99801,-0.50281,0.3621,1.1854,1.5185,1.6202,3.5
-1.3756,-0.9409,-0.42083,0.40416,1.2382,1.5395,1.6325,4
-1.3238,-0.9031,-0.37074,0.45578,1.2924,1.5549,1.6439,4.5
-1.2717,-0.87619,-0.33456,0.51622,1.3264,1.5661,1.6543,5
-1.2314,-0.8324,-0.29182,0.57319,1.3462,1.5744,1.6634,5.5
-1.2153,-0.76008,-0.2299,0.62525,1.3605,1.581,1.6713,6
-1.2329,-0.69334,-0.14519,0.67856,1.3747,1.5873,1.6777,6.5
-1.1146,-0.63496,-0.093838,0.73457,1.3891,1.5945,1.6829,7
-0.97034,-0.56346,-0.14807,0.79131,1.4033,1.6022,1.6871,7.5
-0.96472,-0.50253,-0.19464,0.84972,1.4172,1.6093,1.6904,8
-1.0066,-0.46189,0.010084,0.91178,1.4305,1.615,1.6932,8.5
-1.0056,-0.39172,0.26548,0.97044,1.443,1.6183,1.6956,9
-0.93084,-0.33432,0.29559,1.0163,1.4541,1.6205,1.6978,9.5
-0.8531,-0.27995,0.39086,1.0502,1.4631,1.623,1.7001,10
-0.80036,-0.17641,0.46431,1.076,1.4695,1.6274,1.7027,10.5
-0.75945,-0.03926,0.54582,1.0972,1.473,1.6349,1.7048,11
-0.71605,0.050998,0.5992,1.1151,1.4739,1.6439,1.7045,11.5
-0.65495,0.13967,0.63749,1.1308,1.4729,1.6523,1.6999,12
-0.55884,0.23088,0.68675,1.1452,1.4706,1.6579,1.6889,12.5
-0.38711,0.29896,0.74607,1.1591,1.4676,1.6585,1.6694,13
-0.24461,0.35868,0.79877,1.1731,1.4645,1.652,1.6409,13.5
-0.16805,0.41914,0.835,1.1865,1.4613,1.6362,1.6082,14
-0.056046,0.48353,0.85874,1.1986,1.4566,1.6095,1.5773,14.5
0.050733,0.54344,0.87561,1.2085,1.4492,1.5752,1.5516,15
0.10884,0.58896,0.89062,1.2155,1.4377,1.5398,1.5294,15.5
0.16005,0.62256,0.90483,1.2188,1.4207,1.509,1.5087,16
0.22996,0.65085,0.91758,1.2175,1.3973,1.4844,1.4872,16.5
0.29899,0.6773,0.92824,1.2115,1.3694,1.4655,1.4641,17
0.35811,0.70137,0.93616,1.2017,1.3401,1.4518,1.4403,17.5
0.42325,0.72229,0.94068,1.189,1.3126,1.4425,1.4173,18
0.47437,0.73926,0.94132,1.1741,1.2895,1.4352,1.3962,18.5
0.50142,0.75155,0.93845,1.158,1.2701,1.4275,1.3776,19
0.51717,0.75918,0.93279,1.1415,1.2533,1.4167,1.3612,19.5
0.53524,0.76294,0.92504,1.1232,1.2381,1.4004,1.3467,20
0.56901,0.76361,0.9159,1.1002,1.2232,1.3764,1.3339,20.5
0.61511,0.76198,0.90608,1.0727,1.2079,1.346,1.3223,21
0.65016,0.75886,0.89629,1.0441,1.1923,1.3126,1.3112,21.5
0.67173,0.75502,0.88716,1.0176,1.1772,1.2798,1.2997,22
0.68224,0.75127,0.87894,0.99665,1.1634,1.2511,1.287,22.5
0.68407,0.7482,0.87167,0.98231,1.1513,1.2291,1.2735,23
0.67964,0.74585,0.86541,0.97353,1.1417,1.2134,1.2603,23.5
0.67135,0.74423,0.86021,0.96911,1.1347,1.2028,1.2485,24
0.66159,0.74331,0.85613,0.96788,1.1297,1.1965,1.2393,24.5
0.65276,0.74308,0.85324,0.96866,1.1265,1.1934,1.2323,25
0.64691,0.74352,0.85157,0.97029,1.1244,1.1926,1.2265,25.5
0.64413,0.74463,0.85107,0.97165,1.123,1.1931,1.2206,26
0.64388,0.74638,0.85168,0.97248,1.122,1.1938,1.2137,26.5
0.64559,0.74878,0.8533,0.97301,1.121,1.1941,1.2048,27
0.64873,0.75184,0.85585,0.9735,1.1202,1.1938,1.1947,27.5
0.65275,0.75554,0.85926,0.97421,1.1195,1.193,1.1844,28
0.6571,0.75991,0.86343,0.9754,1.119,1.1918,1.175,28.5
0.66122,0.76493,0.86829,0.97732,1.1186,1.1901,1.1673,29
0.66462,0.77062,0.8738,0.98023,1.1182,1.1881,1.1613,29.5
0.66726,0.77697,0.87996,0.98429,1.1181,1.1857,1.1566,30
0.66948,0.78398,0.88678,0.98938,1.118,1.1829,1.1528,30.5
0.6716,0.7916,0.89428,0.9953,1.118,1.1799,1.1494,31
0.67397,0.79977,0.90247,1.0019,1.1181,1.1767,1.1462,31.5
0.67691,0.80844,0.91134,1.0089,1.1183,1.1733,1.1427,32
0.68075,0.81757,0.92091,1.0161,1.1186,1.1698,1.1392,32.5
0.68583,0.82709,0.93104,1.0235,1.119,1.1663,1.1355,33
0.69249,0.83695,0.94151,1.0306,1.1194,1.1629,1.1316,33.5
0.70104,0.8471,0.95214,1.0375,1.1198,1.1597,1.1277,34
0.71148,0.85746,0.96271,1.0439,1.1203,1.1567,1.1237,34.5
0.7234,0.86796,0.97302,1.0496,1.1208,1.1541,1.1196,35
0.73633,0.87853,0.98287,1.0544,1.1213,1.1519,1.1155,35.5
0.74982,0.88907,0.9921,1.0581,1.1218,1.1503,1.1115,36
0.76342,0.89953,1.0007,1.0607,1.1222,1.1493,1.1075,36.5
0.77667,0.90982,1.0088,1.0621,1.1226,1.1486,1.1037,37
0.78912,0.91989,1.0164,1.0626,1.1228,1.1481,1.1002,37.5
0.80032,0.92977,1.0235,1.0625,1.123,1.1474,1.0968,38
0.81015,0.93948,1.0302,1.0619,1.123,1.1461,1.0931,38.5
0.81897,0.94909,1.0366,1.0611,1.1229,1.1441,1.0883,39
0.82719,0.95863,1.0427,1.0604,1.1226,1.1409,1.0818,39.5
0.8352,0.96815,1.0484,1.0598,1.1221,1.1365,1.073,40
0.8434,0.97767,1.0538,1.0598,1.1214,1.1311,1.061,40.5
0.85219,0.98719,1.0588,1.0605,1.1204,1.1249,1.046,41
0.86198,0.99651,1.0634,1.0621,1.1192,1.1181,1.0302,41.5
0.8729,1.0054,1.0676,1.0647,1.1177,1.111,1.0167,42
0.88471,1.0137,1.0714,1.0681,1.1159,1.1038,1.0081,42.5
0.89713,1.0212,1.0747,1.072,1.1137,1.0968,1.0037,43
0.9099,1.0278,1.0776,1.0761,1.1111,1.0901,1.0008,43.5
0.92272,1.0335,1.08,1.0803,1.1081,1.0836,0.99689,44
0.93532,1.0384,1.082,1.0842,1.1045,1.0768,0.98922,44.5
0.94745,1.0426,1.0834,1.0876,1.1003,1.0694,0.97532,45
0.95898,1.0461,1.0843,1.0903,1.0953,1.0608,0.95628,45.5
0.96978,1.049,1.0847,1.092,1.0896,1.0508,0.93693,46
0.97973,1.0513,1.0846,1.0925,1.0831,1.0387,0.92227,46.5
0.98873,1.0532,1.0839,1.0915,1.0757,1.0248,0.9139,47
0.99665,1.0547,1.0829,1.0893,1.0676,1.0097,0.90836,47.5
1.0034,1.0558,1.0814,1.086,1.0588,0.99404,0.90177,48
1.0089,1.0567,1.0795,1.0819,1.0493,0.9786,0.89025,48.5
1.0134,1.0574,1.0774,1.0772,1.0393,0.96407,0.87046,49
1.0171,1.0579,1.0749,1.072,1.0289,0.95115,0.84608,49.5
1.0199,1.0584,1.0723,1.0665,1.018,0.94054,0.82536,50
1.0221,1.0586,1.0693,1.0611,1.0069,0.93236,0.81095,50.5
1.0238,1.0587,1.0662,1.0559,0.9956,0.92561,0.80028,51
1.0251,1.0586,1.0629,1.0506,0.98435,0.91915,0.79062,51.5
1.0262,1.0582,1.0594,1.0453,0.97334,0.91185,0.77922,52
1.0272,1.0576,1.0557,1.0397,0.96276,0.90266,0.76471,52.5
1.0282,1.0565,1.0519,1.0336,0.9528,0.89147,0.74847,53
1.0292,1.0552,1.0478,1.0269,0.94363,0.87874,0.73224,53.5
1.0301,1.0534,1.0435,1.0194,0.93546,0.86493,0.71774,54
1.0309,1.0512,1.039,1.0109,0.92811,0.85048,0.70539,54.5
1.0316,1.0486,1.0342,1.0014,0.92082,0.83582,0.69337,55
1.0321,1.0456,1.0291,0.99092,0.91281,0.82099,0.6797,55.5
1.0325,1.0422,1.0236,0.97971,0.90326,0.80596,0.6625,56
1.0327,1.0385,1.0177,0.96792,0.8914,0.79067,0.64218,56.5
1.0326,1.0345,1.0113,0.95572,0.8764,0.77508,0.62094,57
1.0323,1.0302,1.0045,0.94327,0.85802,0.75913,0.60107,57.5
1.0317,1.0256,0.99714,0.93074,0.83861,0.74282,0.58481,58
1.0308,1.0207,0.98922,0.91828,0.8214,0.72654,0.57243,58.5
1.0295,1.0156,0.98076,0.906,0.80846,0.7108,0.56134,59
1.0279,1.0102,0.9718,0.89398,0.79884,0.69612,0.54872,59.5
1.0259,1.0045,0.96241,0.88232,0.79105,0.68297,0.53182,60
1.0236,0.99853,0.95263,0.8711,0.78365,0.67107,0.51031,60.5
1.021,0.99219,0.94253,0.86043,0.77514,0.6597,0.48703,61
1.018,0.9855,0.93216,0.85038,0.76407,0.64816,0.46501,61.5
1.0147,0.97842,0.92157,0.8409,0.74953,0.6357,0.44695,62
1.011,0.97094,0.91084,0.83141,0.73305,0.62162,0.43261,62.5
1.0071,0.96307,0.89999,0.82127,0.71684,0.60521,0.42029,63
1.0027,0.95484,0.88904,0.80984,0.70304,0.58643,0.40829,63.5
0.99809,0.94626,0.878,0.79696,0.69181,0.56613,0.39488,64
0.99311,0.93736,0.86686,0.78298,0.68118,0.54518,0.37905,64.5
0.98779,0.92817,0.85563,0.76825,0.66907,0.52448,0.36165,65
0.98215,0.91871,0.84431,0.75314,0.65341,0.50492,0.34386,65.5
0.97617,0.90901,0.83291,0.73803,0.63219,0.48727,0.32688,66
0.96984,0.89908,0.82144,0.72328,0.60608,0.47146,0.31132,66.5
0.9631,0.88894,0.80987,0.70899,0.57921,0.45701,0.29651,67
0.95592,0.8786,0.79815,0.69496,0.5557,0.44341,0.28158,67.5
0.94827,0.86806,0.78623,0.68099,0.5366,0.43018,0.26581,68
0.94011,0.85733,0.77405,0.66686,0.52073,0.41696,0.24921,68.5
0.93143,0.84642,0.76153,0.65236,0.50687,0.40344,0.23208,69
0.92229,0.83533,0.74861,0.63727,0.4938,0.38935,0.21473,69.5
0.91275,0.82406,0.73524,0.62139,0.48029,0.37439,0.19745,70
0.9029,0.81263,0.7214,0.60475,0.46537,0.35829,0.18046,70.5
0.8928,0.80103,0.70721,0.58771,0.44925,0.34078,0.16367,71
0.88254,0.78928,0.69283,0.57063,0.43244,0.32203,0.14688,71.5
0.87217,0.77737,0.67841,0.55388,0.41544,0.30257,0.12988,72
0.86178,0.76532,0.66412,0.53781,0.39877,0.28288,0.11261,72.5
0.85141,0.75312,0.6501,0.5224,0.38295,0.26349,0.095238,73
0.84106,0.74079,0.63637,0.50747,0.36847,0.2449,0.077972,73.5
0.83071,0.7283,0.62278,0.4928,0.35585,0.2275,0.061012,74
0.82037,0.71559,0.60914,0.4782,0.34502,0.21126,0.044444,74.5
0.81003,0.70264,0.59529,0.46348,0.33484,0.19605,0.028025,75
0.79969,0.68939,0.58104,0.44858,0.32406,0.18178,0.011455,75.5
0.78933,0.67581,0.56633,0.43353,0.31144,0.1683,-0.0055562,76
0.77896,0.66186,0.5511,0.41835,0.29574,0.15532,-0.023033,76.5
0.76856,0.64759,0.53533,0.40305,0.27592,0.14233,-0.040641,77
0.75814,0.63304,0.51899,0.38768,0.25357,0.12878,-0.058026,77.5
0.74768,0.61827,0.50204,0.37224,0.23187,0.11414,-0.074833,78
0.73711,0.60332,0.48448,0.35676,0.214,0.097879,-0.090978,78.5
0.72634,0.58826,0.46665,0.34124,0.20123,0.079488,-0.10686,79
0.71523,0.57313,0.44915,0.32568,0.19175,0.059146,-0.12291,79.5
0.70367,0.55798,0.43255,0.31004,0.18352,0.03791,-0.13957,80
0.69156,0.54285,0.41745,0.29431,0.17447,0.016896,-0.15671,80.5
0.67878,0.52779,0.4044,0.27846,0.16302,-0.0027812,-0.17378,81
0.66522,0.51284,0.39304,0.26247,0.14872,-0.020079,-0.19019,81.5
0.65086,0.49806,0.38219,0.24633,0.13129,-0.034897,-0.20542,82
0.63584,0.48344,0.37064,0.23008,0.11044,-0.047802,-0.2196,82.5
0.62034,0.46888,0.35718,0.2139,0.086468,-0.059376,-0.23339,83
0.60451,0.45429,0.34126,0.19797,0.061559,-0.070202,-0.2474,83.5
0.58852,0.43955,0.32349,0.18248,0.038291,-0.080852,-0.2623,84
0.57254,0.42458,0.3046,0.1676,0.01914,-0.091836,-0.27855,84.5
0.55673,0.40938,0.2853,0.15324,0.0045642,-0.10364,-0.29581,85
0.54126,0.39395,0.26634,0.13913,-0.0068049,-0.11675,-0.31348,85.5
0.52628,0.37831,0.24841,0.12497,-0.016403,-0.13165,-0.33099,86
0.51193,0.36246,0.23176,0.11049,-0.025665,-0.14882,-0.34788,86.5
0.49808,0.3465,0.21632,0.095462,-0.036006,-0.16874,-0.36422,87
0.48456,0.33059,0.20199,0.07993,-0.048134,-0.19116,-0.38022,87.5
0.47118,0.31495,0.18868,0.063997,-0.061922,-0.2147,-0.39606,88
0.45776,0.29979,0.17627,0.047765,-0.077193,-0.23787,-0.41194,88.5
0.44411,0.2853,0.16437,0.031337,-0.09377,-0.25917,-0.42801,89
0.43004,0.27166,0.15233,0.014817,-0.11147,-0.27712,-0.44415,89.5
0.41538,0.25872,0.13951,-0.001691,-0.13013,-0.29088,-0.46012,90
0.40002,0.24599,0.12527,-0.018077,-0.14944,-0.30173,-0.47572,90.5
0.3841,0.23301,0.10913,-0.03421,-0.16886,-0.31136,-0.49082,91
0.36786,0.21929,0.091566,-0.04996,-0.18778,-0.32145,-0.50588,91.5
0.35153,0.20451,0.073426,-0.065194,-0.20565,-0.33346,-0.52152,92
0.33534,0.18886,0.055542,-0.079824,-0.22244,-0.34779,-0.53836,92.5
0.31951,0.17263,0.038749,-0.094024,-0.2385,-0.36455,-0.55618,93
0.30426,0.1561,0.023853,-0.10806,-0.25419,-0.38389,-0.57415,93.5
0.28955,0.13956,0.010806,-0.12221,-0.26987,-0.40592,-0.59143,94
0.2753,0.12324,-0.0013987,-0.13673,-0.28589,-0.43051,-0.60739,94.5
0.26141,0.10724,-0.013819,-0.15185,-0.30236,-0.45573,-0.62257,95
0.24778,0.09163,-0.027466,-0.16749,-0.31901,-0.47902,-0.63782,95.5
0.23433,0.076499,-0.042597,-0.18352,-0.33548,-0.49781,-0.65394,96
0.22095,0.061921,-0.058839,-0.19978,-0.35145,-0.51138,-0.67094,96.5
0.20756,0.04788,-0.0758,-0.21614,-0.36657,-0.5213,-0.68816,97
0.19405,0.034128,-0.093088,-0.23244,-0.38051,-0.52932,-0.70495,97.5
0.18033,0.02038,-0.11031,-0.24854,-0.39293,-0.53716,-0.72066,98
0.16632,0.0063543,-0.12708,-0.26436,-0.40352,-0.54656,-0.73503,98.5
0.15198,-0.0082346,-0.1432,-0.27997,-0.41256,-0.55921,-0.74862,99
0.13738,-0.023617,-0.15872,-0.29545,-0.4211,-0.57546,-0.76204,99.5
0.12258,-0.039632,-0.17368,-0.31092,-0.43023,-0.59423,-0.77595,100
0.10763,-0.055947,-0.18817,-0.32646,-0.44105,-0.61438,-0.79063,100.5
0.092603,-0.072227,-0.20223,-0.34212,-0.45464,-0.63475,-0.80564,101
0.077541,-0.088137,-0.21594,-0.35794,-0.47209,-0.6542,-0.82042,101.5
0.062473,-0.10334,-0.22938,-0.37395,-0.4945,-0.6716,-0.83443,102
0.047406,-0.11768,-0.2428,-0.39017,-0.52232,-0.68667,-0.8473,102.5
0.032345,-0.13149,-0.25645,-0.40661,-0.55092,-0.70008,-0.85934,103
0.017298,-0.14519,-0.27059,-0.42314,-0.57368,-0.71255,-0.8711,103.5
0.002272,-0.15922,-0.28543,-0.43963,-0.58947,-0.72479,-0.88311,104
-0.012726,-0.17394,-0.30095,-0.45594,-0.60092,-0.73711,-0.89591,104.5
-0.027689,-0.18935,-0.31707,-0.47193,-0.61071,-0.74952,-0.90951,105
-0.042611,-0.20522,-0.3337,-0.48748,-0.62154,-0.76202,-0.92325,105.5
-0.057484,-0.22135,-0.35076,-0.50245,-0.63591,-0.77461,-0.93638,106
-0.072302,-0.23753,-0.36813,-0.5168,-0.65381,-0.78728,-0.9484,106.5
-0.087064,-0.2536,-0.38561,-0.53074,-0.67326,-0.80005,-0.95954,107
-0.10177,-0.26946,-0.40296,-0.54456,-0.69225,-0.81293,-0.97012,107.5
-0.11642,-0.28499,-0.41994,-0.55851,-0.70933,-0.82592,-0.98048,108
-0.13102,-0.30009,-0.43632,-0.57286,-0.72447,-0.83905,-0.99095,108.5
-0.14557,-0.31463,-0.45187,-0.58763,-0.7379,-0.85235,-1.0017,109
-0.16007,-0.32852,-0.46642,-0.60253,-0.7498,-0.86583,-1.0124,109.5
-0.17452,-0.3418,-0.48025,-0.61725,-0.76038,-0.87953,-1.023,110
-0.18892,-0.35479,-0.49377,-0.63148,-0.76985,-0.89346,-1.0333,110.5
-0.2033,-0.36778,-0.5074,-0.64496,-0.77865,-0.90761,-1.0431,111
-0.21769,-0.38109,-0.52131,-0.65789,-0.78757,-0.92178,-1.0522,111.5
-0.23211,-0.39497,-0.5355,-0.67067,-0.79745,-0.93574,-1.0607,112
-0.2466,-0.40938,-0.54994,-0.68369,-0.80912,-0.94929,-1.0687,112.5
-0.2612,-0.42426,-0.56462,-0.69737,-0.82341,-0.96217,-1.0762,113
-0.27592,-0.43954,-0.5795,-0.71209,-0.84098,-0.97419,-1.0832,113.5
-0.29076,-0.45513,-0.59458,-0.72826,-0.8604,-0.98515,-1.09,114
-0.30569,-0.47096,-0.60978,-0.74619,-0.87897,-0.99511,-1.0965,114.5
-0.32067,-0.4869,-0.62489,-0.76517,-0.89404,-1.0041,-1.1027,115
-0.33567,-0.5028,-0.63975,-0.78382,-0.90496,-1.0124,-1.1086,115.5
-0.35065,-0.51847,-0.65416,-0.80076,-0.91288,-1.0199,-1.1141,116
-0.36559,-0.53374,-0.66792,-0.81459,-0.91901,-1.0267,-1.1192,116.5
-0.38044,-0.54842,-0.68093,-0.8247,-0.92459,-1.0331,-1.1238,117
-0.39518,-0.5624,-0.69342,-0.83218,-0.93084,-1.0392,-1.1278,117.5
-0.40977,-0.57588,-0.70571,-0.83831,-0.93897,-1.0451,-1.1312,118
-0.42418,-0.5891,-0.71811,-0.84442,-0.95015,-1.0509,-1.1342,118.5
-0.43844,-0.60234,-0.73093,-0.85181,-0.96416,-1.0568,-1.1367,119
-0.45258,-0.61585,-0.74436,-0.86133,-0.97945,-1.063,-1.139,119.5
-0.46668,-0.62977,-0.7582,-0.87268,-0.99441,-1.0694,-1.1411,120
-0.48078,-0.64396,-0.77225,-0.88533,-1.0074,-1.076,-1.1431,120.5
-0.49495,-0.65822,-0.78627,-0.89877,-1.0175,-1.0826,-1.1451,121
-0.50923,-0.67236,-0.80005,-0.9125,-1.025,-1.0893,-1.1472,121.5
-0.52364,-0.68619,-0.81337,-0.92601,-1.0305,-1.0959,-1.1493,122
-0.53819,-0.69952,-0.82605,-0.9388,-1.0346,-1.1023,-1.1514,122.5
-0.55287,-0.71234,-0.83811,-0.95068,-1.038,-1.1085,-1.1535,123
-0.56769,-0.72474,-0.84966,-0.96168,-1.0411,-1.1143,-1.1556,123.5
-0.58262,-0.73682,-0.8608,-0.97186,-1.0447,-1.1198,-1.1575,124
-0.59768,-0.74869,-0.87161,-0.98125,-1.049,-1.1249,-1.1593,124.5
-0.61274,-0.76044,-0.88219,-0.9899,-1.0539,-1.1294,-1.161,125
-0.62762,-0.77219,-0.89265,-0.99785,-1.0592,-1.1333,-1.1623,125.5
-0.64213,-0.78402,-0.90307,-1.0052,-1.0647,-1.1366,-1.1634,126
-0.65607,-0.79598,-0.91353,-1.0118,-1.0701,-1.1391,-1.1639,126.5
-0.66925,-0.80795,-0.92398,-1.018,-1.0752,-1.141,-1.1637,127
-0.68151,-0.81985,-0.93432,-1.0235,-1.0799,-1.1421,-1.1628,127.5
-0.69288,-0.83156,-0.94446,-1.0286,-1.0838,-1.1429,-1.161,128
-0.70364,-0.84297,-0.9543,-1.0333,-1.0871,-1.1433,-1.1581,128.5
-0.71404,-0.85399,-0.96374,-1.0375,-1.0897,-1.1437,-1.1543,129
-0.72437,-0.8645,-0.9727,-1.0413,-1.0919,-1.1441,-1.1496,129.5
-0.73488,-0.87449,-0.98106,-1.0448,-1.0936,-1.1448,-1.1443,130
-0.74585,-0.88417,-0.98874,-1.0479,-1.0949,-1.1459,-1.1386,130.5
-0.75734,-0.89381,-0.99571,-1.0509,-1.096,-1.1472,-1.1328,131
-0.76916,-0.90366,-1.002,-1.0536,-1.0968,-1.1486,-1.1269,131.5
-0.78105,-0.91397,-1.0076,-1.0562,-1.0975,-1.1496,-1.1212,132
-0.79278,-0.92492,-1.0126,-1.0587,-1.0981,-1.1501,-1.1159,132.5
-0.8041,-0.93623,-1.0171,-1.0611,-1.0987,-1.1496,-1.1107,133
-0.81487,-0.94742,-1.0209,-1.0636,-1.0992,-1.1481,-1.1055,133.5
-0.82516,-0.95804,-1.0243,-1.066,-1.0996,-1.1451,-1.1001,134
-0.83509,-0.96759,-1.0271,-1.0685,-1.0999,-1.1405,-1.0941,134.5
-0.84477,-0.97562,-1.0295,-1.0709,-1.1002,-1.1345,-1.0875,135
-0.85432,-0.98184,-1.0314,-1.0734,-1.1004,-1.1274,-1.0799,135.5
-0.86385,-0.98648,-1.0327,-1.0758,-1.1005,-1.1195,-1.0713,136
-0.87348,-0.98984,-1.0336,-1.0782,-1.1005,-1.111,-1.0621,136.5
-0.88331,-0.99223,-1.0339,-1.0805,-1.1004,-1.1021,-1.0527,137
-0.89344,-0.99396,-1.0337,-1.0829,-1.1002,-1.0932,-1.0435,137.5
-0.90374,-0.99533,-1.033,-1.0851,-1.0999,-1.0844,-1.0351,138
-0.91401,-0.99658,-1.0316,-1.0873,-1.0994,-1.0756,-1.0279,138.5
-0.92406,-0.9978,-1.0297,-1.0892,-1.0986,-1.0668,-1.0223,139
-0.9337,-0.99905,-1.0273,-1.091,-1.0972,-1.0579,-1.0189,139.5
-0.94274,-1.0004,-1.0242,-1.0924,-1.0951,-1.0488,-1.0177,140
-0.95099,-1.002,-1.0208,-1.0936,-1.092,-1.0397,-1.0182,140.5
-0.95845,-1.0038,-1.0173,-1.0944,-1.0877,-1.0303,-1.0199,141
-0.96517,-1.0059,-1.014,-1.0948,-1.0821,-1.0206,-1.0225,141.5
-0.97123,-1.0084,-1.0111,-1.0948,-1.0753,-1.0108,-1.0254,142
-0.97668,-1.0113,-1.0089,-1.0942,-1.0677,-1.0011,-1.0281,142.5
-0.98159,-1.0145,-1.0077,-1.0931,-1.0599,-0.99176,-1.0303,143
-0.98603,-1.0179,-1.0077,-1.0915,-1.0523,-0.98299,-1.0316,143.5
-0.99005,-1.0213,-1.0088,-1.0894,-1.0454,-0.97505,-1.0325,144
-0.99372,-1.0247,-1.0109,-1.0868,-1.039,-0.9682,-1.0335,144.5
-0.99711,-1.0278,-1.0139,-1.0837,-1.0326,-0.96267,-1.0348,145
-1.0003,-1.0307,-1.0177,-1.0801,-1.0258,-0.95872,-1.0371,145.5
-1.0033,-1.0331,-1.0221,-1.076,-1.0181,-0.95654,-1.0406,146
-1.0062,-1.035,-1.0272,-1.0715,-1.009,-0.95597,-1.046,146.5
-1.009,-1.0365,-1.0326,-1.0664,-0.99806,-0.95662,-1.0534,147
-1.0117,-1.0376,-1.038,-1.0607,-0.98471,-0.95809,-1.0624,147.5
-1.0143,-1.0382,-1.0431,-1.0542,-0.96871,-0.95999,-1.0721,148
-1.0167,-1.0383,-1.0475,-1.0468,-0.95158,-0.96194,-1.0817,148.5
-1.019,-1.038,-1.0508,-1.0384,-0.93575,-0.96353,-1.0904,149
-1.021,-1.0373,-1.0527,-1.0289,-0.92247,-0.96439,-1.0974,149.5
-1.0229,-1.0361,-1.0526,-1.0183,-0.91158,-0.96445,-1.1017,150
-1.0245,-1.0344,-1.0505,-1.0063,-0.90285,-0.96399,-1.1028,150.5
-1.0259,-1.0324,-1.0465,-0.99315,-0.89602,-0.96327,-1.1003,151
-1.027,-1.03,-1.0407,-0.97916,-0.89087,-0.96258,-1.0948,151.5
-1.0278,-1.0273,-1.0334,-0.96457,-0.88715,-0.9622,-1.0868,152
-1.0283,-1.0244,-1.0249,-0.94966,-0.88464,-0.96241,-1.0767,152.5
-1.0285,-1.0211,-1.0154,-0.93469,-0.88307,-0.96349,-1.0651,153
-1.0284,-1.0177,-1.005,-0.91993,-0.88224,-0.9656,-1.0523,153.5
-1.0279,-1.0142,-0.99407,-0.90566,-0.88188,-0.96863,-1.0375,154
-1.027,-1.0104,-0.98278,-0.89213,-0.8818,-0.97249,-1.0197,154.5
