Alpha,C_di,C_l
-10.0,nan,nan
-9.397058823529411,0.07268252203751165,-1.003481165141351
-8.794117647058824,0.06559289895526915,-0.9532847462490903
-8.191176470588236,0.05891327921344997,-0.9034431504115447
-7.588235294117647,0.05264369897088003,-0.8540187969454582
-6.985294117647059,0.046909489114777055,-0.8061661945064775
-6.382352941176471,0.04149612637416969,-0.7582248430667554
-5.779411764705882,0.03643046254217869,-0.7104386392139685
-5.176470588235294,0.031527216686112636,-0.6609019707731868
-4.5735294117647065,0.026270521830840294,-0.6032934092949676
-3.9705882352941178,0.021000684798774205,-0.5394000214509181
-3.36764705882353,0.016431943651177366,-0.47713217031871213
-2.764705882352942,0.012254614005279881,-0.41204443147821507
-2.1617647058823533,0.0074832281326159215,-0.3219872861809007
-1.5588235294117645,0.0036197657116208426,-0.22394143767955993
-0.9558823529411775,0.0012866586996189491,-0.13351372459842945
-0.35294117647058876,0.00015925780745132165,-0.04697259974079649
0.25,8.415351872467617e-05,0.03414525583501105
0.852941176470587,0.000974189233505895,0.11617585941072614
1.4558823529411757,0.0032631917719663467,0.21262558901614553
2.0588235294117645,0.00665778160205562,0.303709938208621
2.6617647058823515,0.01144918790446061,0.39827364855220027
3.2647058823529402,0.015541419381769422,0.46402306784955266
3.867647058823529,0.02027246171847788,0.5299653499143424
4.470588235294116,0.025167905561133387,0.5904970997620596
5.073529411764705,0.030451364362141884,0.6495275984452387
5.6764705882352935,0.035519831619214834,0.7015032384359123
6.2794117647058805,0.040633458446125384,0.7503020363429217
6.882352941176471,0.0459674040238805,0.7980300039762505
7.485294117647058,0.05157029534025495,0.8452672458703271
8.088235294117645,0.05776489299913924,0.894594487437408
8.691176470588236,0.06441550731540278,0.9446902798836456
9.294117647058822,0.07145893793508033,0.9949986916198845
9.89705882352941,0.07850134028979183,1.0428762255059363
10.5,nan,nan
